"chr"	"starts"	"ends"	"genes"
"1"	"chr1"	12623	12624	"DDX11L1"
"2"	"chr1"	30120	30121	"WASH7P"
"3"	"chr1"	18186	18187	"MIR6859.1"
"4"	"chr1"	18186	18187	"MIR6859.2"
"5"	"chr1"	18186	18187	"MIR6859.3"
"6"	"chr1"	18186	18187	"MIR6859.4"
"7"	"chr1"	31115	31116	"MIR1302.2"
"8"	"chr1"	31115	31116	"MIR1302.9"
"9"	"chr1"	31115	31116	"MIR1302.10"
"10"	"chr1"	31115	31116	"MIR1302.11"
"11"	"chr1"	36831	36832	"FAM138A"
"12"	"chr1"	36831	36832	"FAM138F"
"13"	"chr1"	36831	36832	"FAM138C"
"14"	"chr1"	141316	141317	"LOC729737"
"15"	"chr1"	183137	183138	"LOC102725121"
"16"	"chr1"	188708	188709	"MIR6859.1"
"17"	"chr1"	188708	188709	"MIR6859.2"
"18"	"chr1"	188708	188709	"MIR6859.3"
"19"	"chr1"	188708	188709	"MIR6859.4"
"20"	"chr1"	207347	207348	"FAM138D"
"21"	"chr1"	496195	496196	"LOC100132287"
"22"	"chr1"	496195	496196	"LOC100132062"
"23"	"chr1"	629759	629760	"LOC101928626"
"24"	"chr1"	731101	731102	"LOC100133331"
"25"	"chr1"	779438	779439	"LOC100288069"
"26"	"chr1"	818120	818121	"FAM87B"
"27"	"chr1"	828272	828273	"LINC00115"
"28"	"chr1"	828340	828341	"LINC01128"
"29"	"chr1"	828340	828341	"LINC01128"
"30"	"chr1"	828340	828341	"LINC01128"
"31"	"chr1"	828340	828341	"LINC01128"
"32"	"chr1"	828340	828341	"LINC01128"
"33"	"chr1"	828547	828548	"LINC01128"
"34"	"chr1"	877552	877553	"FAM41C"
"35"	"chr1"	920442	920443	"LINC02593"
"36"	"chr1"	920442	920443	"LINC02593"
"37"	"chr1"	967231	967232	"PLEKHN1"
"38"	"chr1"	1060483	1060484	"LOC100288175"
"39"	"chr1"	1137766	1137767	"LINC01342"
"40"	"chr1"	93847969	93847970	"BCAR3"
"41"	"chr1"	1274604	1274605	"UBE2J2"
"42"	"chr1"	155193659	155193660	"MUC1"
"43"	"chr1"	1281185	1281186	"SCNN1D"
"44"	"chr1"	1296920	1296921	"MIR6726"
"45"	"chr1"	1305562	1305563	"SNORD167"
"46"	"chr1"	1309329	1309330	"PUSL1"
"47"	"chr1"	1309329	1309330	"PUSL1"
"48"	"chr1"	1325437	1325438	"INTS11"
"49"	"chr1"	1325437	1325438	"INTS11"
"50"	"chr1"	1325437	1325438	"INTS11"
"51"	"chr1"	1313316	1313317	"MIR6727"
"52"	"chr1"	26788712	26788713	"PIGV"
"53"	"chr1"	1340458	1340459	"MIR6808"
"54"	"chr1"	1359544	1359545	"MXRA8"
"55"	"chr1"	1399092	1399093	"CCNL2"
"56"	"chr1"	1400279	1400280	"MRPL20.AS1"
"57"	"chr1"	1435323	1435324	"LINC01770"
"58"	"chr1"	1435323	1435324	"LINC01770"
"59"	"chr1"	1435323	1435324	"LINC01770"
"60"	"chr1"	1600182	1600183	"LOC105378586"
"61"	"chr1"	1616164	1616165	"MIB2"
"62"	"chr1"	214552352	214552353	"PTPN14"
"63"	"chr1"	1616249	1616250	"MIB2"
"64"	"chr1"	1616604	1616605	"MIB2"
"65"	"chr1"	1616604	1616605	"MIB2"
"66"	"chr1"	1633529	1633530	"MMP23A"
"67"	"chr1"	1700688	1700689	"MMP23A"
"68"	"chr1"	1759392	1759393	"NADK"
"69"	"chr1"	2050820	2050821	"LOC105378591"
"70"	"chr1"	223993394	223993395	"GTF2IP20"
"71"	"chr1"	2184625	2184626	"PRKCZ.AS1"
"72"	"chr1"	2195525	2195526	"FAAP20"
"73"	"chr1"	2195525	2195526	"FAAP20"
"74"	"chr1"	2195525	2195526	"FAAP20"
"75"	"chr1"	2195525	2195526	"FAAP20"
"76"	"chr1"	2208483	2208484	"FAAP20"
"77"	"chr1"	2195525	2195526	"FAAP20"
"78"	"chr1"	2195525	2195526	"FAAP20"
"79"	"chr1"	2213470	2213471	"FAAP20"
"80"	"chr1"	2195525	2195526	"FAAP20"
"81"	"chr1"	2353411	2353412	"LOC100129534"
"82"	"chr1"	2477064	2477065	"PLCH2"
"83"	"chr1"	2557761	2557762	"TNFRSF14.AS1"
"84"	"chr1"	2567284	2567285	"LOC100996583"
"85"	"chr1"	3068475	3068476	"PRDM16.DT"
"86"	"chr1"	3068475	3068476	"PRDM16.DT"
"87"	"chr1"	3128724	3128725	"MIR4251"
"88"	"chr1"	3561540	3561541	"MIR551A"
"89"	"chr1"	3858016	3858017	"DFFB"
"90"	"chr1"	27155875	27155876	"SLC9A1"
"91"	"chr1"	3901153	3901154	"LINC01134"
"92"	"chr1"	3941361	3941362	"LINC01346"
"93"	"chr1"	3949730	3949731	"LINC01345"
"94"	"chr1"	4412800	4412801	"LINC01777"
